,0
0,"[[  9.90317059   3.81071115   3.77008128   1.89378667]
 [ -8.63657951  -3.63093567  -2.21601057  -5.97962379]
 [ 11.93156338   0.17710204   0.03259033   0.85800767]
 [  9.97844028   1.41111434   3.85458636   0.89640969]
 [ 11.97155094  -0.28133383  -0.35023975   0.68061942]
 [ 11.41343403   3.11127567   0.67130703   1.65763378]
 [ -5.80936003  -2.43747711  -2.11834049  -6.67152691]
 [  6.17843962   1.22342873   9.14810467   1.1060946 ]]"
1,[-2.57662559 -6.04869556 -2.87642121 -4.57652473]
0,"[[  9.30689144  -3.15466094  -4.68849373   2.67718768]
 [  3.79934502  -0.61285388   3.79665446   1.20158613]
 [ -4.35130835   4.36929846  -5.17785883 -10.48572636]
 [  7.11825943   3.71148252   6.9247117   -1.9492029 ]
 [  0.88890129  -7.94419289  -0.40942678  -4.11877298]
 [  7.80807781   4.24013329   1.0899843   -1.19030213]
 [  8.91360855  -1.12544024  -2.36384439   2.31769681]
 [  8.30594826   4.82441568   1.62502968  -2.10984421]]"
1,[-3.73059297 -3.91461825 -3.73698878 -0.05179808]
0,"[[-1.91025841 -2.60608745 -7.48415232  6.24829865]
 [-0.35556632 -4.23220253 -5.23016548  3.72401237]
 [-9.82568455 -0.26556087  1.86241341 -2.38170123]
 [ 1.60368645  7.10679197  3.20161223  6.24375486]
 [ 1.32041585  6.16961002  3.18845868  6.26457405]
 [ 0.76990557  4.84269142  0.23707139  2.8577919 ]
 [-9.07137299 -0.37901232 -3.08362389 -2.43891692]
 [ 1.78695989  6.84814882  4.3102293   6.32092142]]"
1,[-4.13989878  0.57379609 -0.9613471  -0.52536517]
0,"[[ -1.71219754  -3.47644806  -3.88011193   6.40858603]
 [  7.91255665  11.28866196  -0.75040781   3.74380136]
 [ -3.54947877  -1.10588074  -4.41736746  -8.44136333]
 [  5.61493731  10.93429565   3.00430441   1.28201175]
 [  5.5808444   10.68154716   1.58214498   0.94787711]
 [  8.71895504  10.72343922   5.88844633  -2.47215462]
 [  2.82342339  11.0198679    1.0951097   -1.63837719]
 [  6.94091511  11.42776299   0.94949979   3.64756203]]"
1,[-3.56765842 -1.41361165 -3.60370374 -5.1519928 ]
0,"[[ 10.12260628   6.33636761   1.84375548   7.75061369]
 [ 10.2622757    6.6544137    1.6995697    7.4462266 ]
 [ 10.39426899  -1.86169624   0.66527557   7.8942008 ]
 [ 10.19734478   5.85937643   1.63662601   8.40139103]
 [ -1.22348917   0.40181655  -8.74832439  -4.48918533]
 [ 10.29108524   3.04611301   1.33485699   8.33948898]
 [  0.29385155  -0.16359633  -8.06019878  -6.46375656]
 [ -0.03792395  -6.31544161   0.05580977   3.22692132]]"
1,[ 0.15781938  0.24176748 -3.83412385 -5.89030266]
